1437791,,,,,,,,,,,,,,,Insecta,9.22835E+11,"Pseudomicrodon auricinctus (Brunetti, 1908)",Syrphidae,Pseudomicrodon,,Dry,,,Yes,1,,Female,,Holotype,,1.27807E+12,Diptera,Arthropoda,"Pseudomicrodon auricinctus (Brunetti, 1908)",auricinctus,Microdontinae,,Cyclorrhapha,,Species,Yes
575056,,,,,,,,,,,,,,,Insecta,1.26451E+12,"Forficula vicaria Semenov, 1902",Forficulidae,Forficula,,Dry,,,Yes,,,,,Syntype,,1.26451E+12,Dermaptera,Arthropoda,"Forficula vicaria Semenov, 1902",vicaria,Forficulinae,,,,Species,Yes
1724158,,,,,,,,,,,,,,,Insecta,1.14255E+12,"Copidosoma floridanum (Ashmead, 1900)",Encyrtidae,Litomastix,,,,,Yes,1,,,,Syntype,,1.23932E+12,Hymenoptera,Arthropoda,"Litomastix maculata Ishii, 1928",maculata,Encyrtinae,,Parasitica,Chalcidoidea,Species,
1664465,,,,,,,,,,,,,,No,Insecta,1.03844E+12,"Chrysis excursa Linsenmaier, 1959",Chrysididae,Chrysis,,Dry,,,Yes,,,,,,,1.40725E+12,Hymenoptera,Arthropoda,"Chrysis excursa Linsenmaier, 1959",excursa,Chrysidinae,,,Chrysidoidea,Species,
1014069,,,,,,,,,,,,,,No,Insecta,1.04786E+12,"Poecilippe simplex (Bates, 1874)",Cerambycidae,Poecilippe,,Dry,,,Yes,2,,,,Paralectotype,,1.47316E+12,Coleoptera,Arthropoda,"Poecilippe simplex (Bates, 1874)",simplex,Lamiinae,,,Chrysomeloidea,Species,Yes
1658766,,,,,,,,,,,,,,,Insecta,9.61542E+11,"Boeria saetosa Hedqvist, 1969",Pteromalidae,Boeria,,Dry,,,Yes,1 | 4,2101,,,Holotype | Paratype,,1.34124E+12,Hymenoptera,Arthropoda,"Boeria saetosa Hedqvist, 1969",saetosa,Diparinae,,Parasitica,Chalcidoidea,Species,Yes
1458584,,,,,,,,,,,,,,,Insecta,1.09823E+12,"Grallipeza cristulata (Cresson, 1926)",Micropezidae,Grallipeza,,Dry,,,Yes,,,,,,,1.29496E+12,Diptera,Arthropoda,"Grallipeza cristulata (Cresson, 1926)",cristulata,,,Cyclorrhapha,,Species,
1481198,,,,,,,,,,,,,,,Insecta,9.22835E+11,Forcipomyia psilonata Kieffer,Ceratopogonidae,Forcipomyia,,Slide,,,Yes,5,,Female,,Syntype,,1.23936E+12,Diptera,Arthropoda,Forcipomyia egypti Macfie,egypti,,,Nematocera,,Species,Yes
1492070,,,,,,,,,,,,,,Yes,Insecta,1.09443E+12,"Lestremia leucophaea (Meigen, 1818)",Cecidomyiidae,Lestremia,,Dry,,,Yes,,,,,,,1.29496E+12,Diptera,Arthropoda,"Lestremia leucophaea (Meigen, 1818)",leucophaea,,,Nematocera,,Species,
1655988,,,,,,,,,,,,,,No,Insecta,1.14221E+12,"Archaeoteleia pygmea Masner, 1968",Scelionidae,Archaeoteleia,,Dry,,,Yes,,,,,,,1.38134E+12,Hymenoptera,Arthropoda,"Archaeoteleia pygmea Masner, 1968",pygmea,Scelioninae,,,Platygastroidea,Species,
